coord_x,coord_y,value,water_saturation,confidence
1,1,39,0.9877550674277881,0.856631991398705
1,2,51,0.8801669003312466,0.37285094463163815
1,3,47,0.5350346651377524,0.7622590794325103
1,4,12,0.10958948345638164,0.19633726592507927
1,5,22,0.6609016007415401,0.4815681929002954
1,6,46,0.1959010629004727,0.9062798220171489
1,7,49,0.9367167406351159,0.3977441188808213
1,8,24,0.068914805986796,0.7062717355625535
1,9,6,0.7939092559012051,0.46234785419534097
1,10,24,0.5399389527882066,0.3078414236258592
1,11,56,0.6129221554853932,0.36657574578131524
1,12,15,0.3022138292864165,0.23104000856907625
1,13,45,0.7862578949605928,0.629656066715959
1,14,2,0.42840988298212523,0.9457771361217008
1,15,48,0.4489123341904835,0.24158879112037457
1,16,16,0.10290037902926275,0.21208469934281193
1,17,13,0.8619938402340785,0.11657908249753979
1,18,24,0.13009602982283786,0.05577897690687672
1,19,3,0.16656255809883802,0.20310572371832047
1,20,14,0.8388660348248737,0.3527626243324322
1,21,60,0.21328554660806298,0.12343333844418103
1,22,35,0.782807963984427,0.5045906923043485
1,23,34,0.1275682683167706,0.8887154572030479
1,24,12,0.12145110947953108,0.6754085339465368
1,25,45,0.6106495293314897,0.4940902479515997
1,26,59,0.21292088383372088,0.27464740640554497
1,27,20,0.39345176408939353,0.617912018008353
1,28,54,0.5648228958871818,0.6721641013737385
1,29,1,0.42039269201856755,0.559640115726429
1,30,47,0.47798582351465857,0.7172609824423036
1,31,42,0.8945283661808353,0.014050604670279632
1,32,21,0.10878774978166439,0.4227567047998435
1,33,23,0.500280272485575,0.5787588722145763
1,34,2,0.9738035486599979,0.7778985821277474
1,35,5,0.255359207779402,0.6324204920096161
1,36,27,0.40749772795719685,0.8287814167771428
1,37,17,0.46728522066510614,0.7820357740917928
1,38,14,0.47759863415341364,0.6691070629985567
1,39,44,0.052138496063531825,0.6060601613811625
1,40,1,0.9140628491582243,0.5476958544797804
1,41,41,0.9409837045196586,0.6015904058535048
1,42,55,0.757004663146091,0.7469289982644284
1,43,35,0.9884180387967825,0.02703682458035883
1,44,30,0.3409364650354745,0.18590759360873843
1,45,31,0.7282514487813289,0.6088103057477507
1,46,52,0.6149648556521787,0.3562297813587959
1,47,23,0.8328940810193626,0.7195269405968726
1,48,4,0.25017094360907743,0.9140734912474121
1,49,20,0.7554234832638389,0.7483494180064618
1,50,41,0.45064360173030327,0.7414757057741914
1,51,7,0.47079886762381207,0.049706626702221146
1,52,42,0.2863985088072366,0.3552189361356405
1,53,58,0.3844680329942385,0.36843976665634093
1,54,59,0.03335385895357845,0.8381303086421826
1,55,49,0.20575505546603134,0.6486211381217001
1,56,4,0.05853719920501721,0.9279734298304765
1,57,31,0.8161168557124199,0.30635483671532526
1,58,23,0.8366194282514177,0.12234522072407972
1,59,36,0.8800184647051894,0.08389391968812232
1,60,34,0.34681720198255417,0.24127035744796055
1,61,2,0.19363439694037177,0.914898252306235
1,62,16,0.9414850270252942,0.442682738766646
1,63,20,0.5227009570976934,0.9689808596785534
1,64,52,0.7257377421596583,0.5319749205421835
1,65,11,0.41389831018934675,0.7623359236665926
1,66,8,0.18783995192968128,0.11054688323075423
1,67,19,0.7044893217379875,0.7488701811023981
1,68,33,0.8686085831644542,0.6667739467955283
1,69,45,0.6010998469601454,0.3196284554478295
1,70,4,0.1343290834784372,0.9416102027485349
1,71,21,0.7755206597083536,0.9578712628081957
1,72,23,0.5989925848162624,0.8858165664439817
1,73,10,0.5897702248255285,0.2866003967865757
1,74,35,0.04480202475519235,0.624241402451965
1,75,34,0.9726589331840049,0.0018142083167467238
1,76,5,0.9472935330697805,0.5034363675578187
1,77,33,0.07932444262554805,0.31713067462139777
1,78,42,0.860362893201559,0.32570100887855513
1,79,57,0.7327757822596233,0.8799105853370374
1,80,20,0.42831027980981506,0.9117597447349305
1,81,33,0.00853912873416196,0.35090757462969135
1,82,1,0.47011951275726105,0.46747581784573666
1,83,14,0.11633024925723956,0.8847448057928097
1,84,29,0.8770803536428172,0.19675968932887777
1,85,23,0.3199408764688412,0.258087202199101
1,86,15,0.48742631088614286,7.091182423024645e-05
1,87,3,0.4771043950933582,0.4466407426649388
1,88,11,0.6818887384791147,0.7731030071118833
1,89,1,0.9393622492668391,0.7483794432784554
1,90,26,0.4139392353512492,0.7592195668628179
1,91,45,0.13794601802380158,0.9349839916701795
1,92,19,0.06581678374633382,0.13299975876134096
1,93,39,0.30652040295497285,0.12010062508479125
1,94,26,0.7237977476426128,0.14466300983965696
1,95,3,0.8015385101214378,0.04494194022719866
1,96,10,0.7368634495557344,0.9370673997160671
1,97,30,0.5961578739780675,0.7096993387728616
1,98,13,0.14632668509192215,0.9200974498028444
1,99,2,0.4107686567695408,0.24021721143567765
1,100,50,0.7550358709801784,0.2231426784629893
2,1,53,0.2048928277406621,0.3094688731020141
2,2,54,0.7599737114127256,0.1155724823805343
2,3,23,0.8292305880264316,0.1742835723875592
2,4,25,0.656110654791218,0.3550079521104367
2,5,4,0.20501672794483272,0.8100516816527116
2,6,40,0.19774482147918582,0.3100239434862897
2,7,9,0.1729993505235189,0.06744923815828419
2,8,24,0.3330918707950553,0.10554683412047627
2,9,28,0.17186772880672718,0.37973157693441384
2,10,33,0.8846950720283144,0.8003780795715991
2,11,51,0.8362533802916763,0.7616918619274221
2,12,38,0.7396970063437704,0.1440962549873922
2,13,6,0.1356031190216067,0.2692978490086395
2,14,30,0.4377429973420637,0.5734867605015588
2,15,10,0.5284369353143556,0.4894553650465415
2,16,2,0.761264781320491,0.10529497584600489
2,17,46,0.45026449148530656,0.888704314929799
2,18,58,0.2338600875563046,0.4624376329842136
2,19,16,0.9873181475171896,0.9455013024283879
2,20,11,0.02125629180980748,0.0023258736856258677
2,21,39,0.1359478703494411,0.8422614509572679
2,22,56,0.4152417701466897,0.2415481274010971
2,23,12,0.28070485266026446,0.5332366990655855
2,24,51,0.6122387218924866,0.29573578899422615
2,25,57,0.9902238777725407,0.67776511858594
2,26,20,0.6868683478204611,0.5438892415059798
2,27,49,0.21163961207080628,0.510712755395214
